car_make,car_model,car_year,price,location,salesperson,purchase_date,customer_name,customer_email,sales_channel
Volvo,XC70,1998,1234.22,Los Angeles,Jeremie Knatt,10/27/2013,York Busch,ybusch10@friendfeed.com,Online
Toyota,Camry,1974,93438.4,Los Angeles,Hersh Druhan,2/1/2021,Loria Lorroway,llorroway11@opensource.org,Auction
Fiat,500,1910,76650.64,Chicago,Manon MacBrearty,2/5/2016,Dara Rosberg,drosberg12@multiply.com,Online
Audi,A8,1911,8705.87,Miami,Noella O'Longain,5/8/2013,Harley Lent,hlent13@msu.edu,Auction
Chevrolet,Express,1909,7088.52,Miami,Kinnie Bussons,11/30/2008,Tammi Bertelsen,tbertelsen14@umich.edu,Online
Lotus,Esprit,1960,75999.53,Miami,Rici Benoist,6/3/2009,Cicely Masden,cmasden15@state.tx.us,Dealership
Volkswagen,rio,1947,26895.06,New York,Terencio Redington,10/12/2008,Sibbie Henrys,shenrys16@chicagotribune.com,Online
Chevrolet,Aveo,1996,80883.67,Houston,Loutitia Tenby,5/24/2001,Tuckie Collingworth,tcollingworth17@flavors.me,Dealership
Dodge,Stratus,2020,28661.89,Miami,Findlay Ridgwell,10/8/2022,Upton Stovin,ustovin18@accuweather.com,Dealership
Hyundai,Accent,1942,76957.49,New York,Martino Mensler,6/18/2016,Aubry Cattow,acattow19@mapquest.com,Online
Volkswagen,Tiguan,1964,84704.7,Miami,Deidre Crutchfield,2/10/2013,Baron Tilzey,btilzey1a@state.tx.us,Auction
Lincoln,Mark VII,1924,59078.57,Miami,Gris Priestner,11/12/2015,Wittie Gatteridge,wgatteridge1b@barnesandnoble.com,Dealership
Chevrolet,Suburban 1500,1985,16481.81,Houston,Graig Harpur,6/24/2020,Tybie Kealey,tkealey1c@webeden.co.uk,Online
Mercedes-Benz,CLS-Class,1918,34254.31,Houston,Vicki Filimore,6/18/2017,Trent Duffield,tduffield1d@aol.com,Online
BMW,525,1916,11923.18,Los Angeles,Paulie Draco,1/19/2017,Thomasa Knowller,tknowller1e@whitehouse.gov,Auction
Mazda,Protege5,1904,9873.55,Los Angeles,Britteny Pendergrast,8/10/2008,Rockie Westall,rwestall1f@ameblo.jp,Dealership
Cadillac,Escalade EXT,2015,81122.24,Chicago,Tove Bracher,7/5/2016,Laurice Tellwright,ltellwright1g@springer.com,Auction
Mercedes-Benz,CL-Class,1972,32241.93,Los Angeles,Joye Mosten,4/27/2003,Wilfrid Howton,whowton1h@surveymonkey.com,Auction
Maserati,228,1955,83564.3,Los Angeles,Jamima Viall,9/25/2008,Abbey Le Gall,ale1i@hao123.com,Auction
Ford,Escort,1929,22511.29,Chicago,Arney Tubritt,8/3/2020,Felicity Harbertson,fharbertson1j@over-blog.com,Auction
Buick,Rainier,1981,82738.11,Los Angeles,Elden Vlasin,7/29/2013,Ardelis Kitchinham,akitchinham1k@goo.gl,Dealership
Lexus,GS,1903,88414.97,Chicago,Urbano Chantler,8/18/2001,Fanny Langstone,flangstone1l@bloomberg.com,Dealership
Maserati,Karif,1918,50113.94,Los Angeles,Doralin Andriesse,1/12/2014,Corbin Cristol,ccristol1m@delicious.com,Auction
Chevrolet,Cavalier,1997,35858.84,Houston,Willi Aronin,1/26/2014,Ruby Raylton,rraylton1n@usa.gov,Dealership
Maybach,62,2022,88392.17,Houston,Ami Zukierman,4/11/2020,Kaye Marc,kmarc1o@google.ru,Online
Chevrolet,TrailBlazer,1986,54388.22,Miami,Chelsy Ohrtmann,9/3/2006,Rufe Scotchmor,rscotchmor1p@phoca.cz,Dealership
Nissan,Altima,1950,92211.23,Miami,Reuben Gowman,3/16/2009,Sandro Radsdale,sradsdale1q@123-reg.co.uk,Dealership
Mercedes-Benz,SLR McLaren,1949,8065.66,Chicago,Austin Johnes,1/13/2015,Garold Denyakin,gdenyakin1r@archive.org,Auction
Dodge,Shadow,1927,64158.03,Chicago,Archie Palmby,5/2/2008,Guillaume MacCome,gmaccome1s@un.org,Online
Dodge,Grand Caravan,1968,43640.26,Los Angeles,Katey Wildgoose,1/4/2017,Eldredge Branscombe,ebranscombe1t@marriott.com,Dealership
Toyota,RAV4,1993,33657.45,Miami,Jay Duxbury,8/12/2012,Heinrik Cutler,hcutler1u@mayoclinic.com,Dealership
Nissan,Armada,1993,53456.76,Miami,Duffie Berkelay,7/8/2021,Matty Vakhonin,mvakhonin1v@usatoday.com,Auction
Mitsubishi,Outlander,1997,58209.94,Miami,Nealson Toffalo,12/18/2011,Marcelo Le Hucquet,mle1w@tiny.cc,Auction
Lexus,SC,1901,91068.45,New York,Kristofor Corney,9/28/2010,Delilah Arne,darne1x@godaddy.com,Online
Ford,Thunderbird,1959,42092.44,New York,Ginger Ginley,3/8/2001,Alexandros Odegaard,aodegaard1y@slideshare.net,Dealership
Ford,Excursion,1987,45645.33,Houston,Chance McVey,6/10/2000,Ewart Room,eroom1z@cmu.edu,Auction
Saab,900,1934,55044.05,Houston,Tiffy Lanston,4/19/2010,Erna Simic,esimic20@tripadvisor.com,Dealership
Pontiac,Torrent,1994,81694.38,New York,Jobye Bythell,1/4/2016,Kakalina Wellstood,kwellstood21@theguardian.com,Dealership
Isuzu,Hombre Space,1985,94502.02,Chicago,Waylen Pay,5/9/2019,Sean Lefeuvre,slefeuvre22@uol.com.br,Auction
Ford,Thunderbird,1997,3129.58,Los Angeles,Hurley Hebron,4/16/2013,Nickie Wogden,nwogden23@amazon.com,Dealership
Mercury,Tracer,1940,61550.06,Los Angeles,Leisha McAllan,2/24/2019,Wyatan Stranahan,wstranahan24@woothemes.com,Dealership
Hyundai,Tiburon,1922,8341.02,Chicago,Ola Galego,11/22/2007,Elysha Beetham,ebeetham25@blogs.com,Online
Dodge,Dakota,1949,63181.06,Miami,Shayne Hessenthaler,3/28/2016,Mona Freund,mfreund26@ifeng.com,Auction
Toyota,RAV4,1968,52536.23,Los Angeles,Tybalt Gorst,6/4/2012,Abba Slany,aslany27@themeforest.net,Online
Volkswagen,Fox,1965,40280.35,Miami,Emmye Benford,6/5/2009,Shannah Lamp,slamp28@wikispaces.com,Online
Chrysler,PT Cruiser,2005,87600.89,Miami,Henry Alven,7/17/2002,Esme Tackle,etackle29@hhs.gov,Online
Ford,F150,2015,95493.84,Los Angeles,Judd Lilleman,4/18/2009,Guss Tarbox,gtarbox2a@youku.com,Auction
Mercedes-Benz,500E,1922,56211.44,Chicago,Lutero Huriche,9/10/2017,Elli Lowdyane,elowdyane2b@yellowpages.com,Dealership
BMW,7 Series,1951,51302.16,Miami,Dru Roads,3/9/2005,Shanda Stead,sstead2c@desdev.cn,Auction
Jeep,Wrangler,1915,21247.93,Miami,Whitney Gerrett,10/1/2018,Ophelia Meak,omeak2d@un.org,Auction
Maybach,57,2012,47699.23,Houston,Fifine Brose,12/1/2018,Rolf Norquoy,rnorquoy2e@ustream.tv,Online
Audi,RS6,1905,49668.03,Chicago,Nissy Pocklington,1/10/2016,Cristian Polino,cpolino2f@cmu.edu,Online
Toyota,Solara,1932,15736.1,Los Angeles,Meggi Reynard,1/25/2015,Melli Lenglet,mlenglet2g@a8.net,Auction
Ford,Expedition,2017,95721.36,Houston,Brewster Bower,7/21/2014,Lucy Harrild,lharrild2h@bbb.org,Auction
Lincoln,Town Car,1996,53731.83,Chicago,Arnoldo Maryott,2/4/2012,Lorri Morpeth,lmorpeth2i@networksolutions.com,Online
BMW,1 Series,1926,79144.09,Chicago,Natalie Leason,4/14/2019,Nissa Pottery,npottery2j@bizjournals.com,Online
Mitsubishi,Pajero,2007,86144.92,New York,Paige Shenton,6/23/2008,Melisent Pigne,mpigne2k@noaa.gov,Auction
Jeep,Compass,1941,86324.34,Miami,Gardener Shall,2/18/2005,Roz Philipson,rphilipson2l@usda.gov,Dealership
Mercedes-Benz,GLK-Class,1944,79041.66,Houston,Aggy Kliner,12/17/2008,Florenza Hamblin,fhamblin2m@google.es,Auction
Chevrolet,Camaro,1998,40633.19,Los Angeles,Mycah Sharpus,1/11/2008,Janessa Fitter,jfitter2n@pagesperso-orange.fr,Auction
Lexus,RX,1967,36254.39,Los Angeles,Taylor Fann,2/23/2017,Miltie Baggiani,mbaggiani2o@google.nl,Online
Dodge,D150,1942,91196.92,Los Angeles,Sarajane Heddy,11/28/2012,Sanson Bulled,sbulled2p@github.com,Dealership
Mitsubishi,Challenger,1965,75574.97,New York,Coralyn Gepheart,11/18/2022,Georgina Atwill,gatwill2q@craigslist.org,Auction
Dodge,Stratus,1903,20197.21,Miami,Cori Scudamore,12/26/2004,Giraldo MacDearmid,gmacdearmid2r@google.cn,Dealership
Lotus,Evora,1945,39790.76,Miami,Filippo Vosse,3/6/2002,Jaine Oswald,joswald2s@stumbleupon.com,Online
Chevrolet,Colorado,1926,70046.5,Houston,Cindee Keough,2/23/2006,Clevie Shave,cshave2t@creativecommons.org,Dealership
Plymouth,Neon,1994,19264.19,New York,Emlynne Donisthorpe,7/16/2012,Garrot Stocking,gstocking2u@hugedomains.com,Auction
Lexus,GS,1911,86715.74,New York,Chrysler Allenson,8/26/2019,Queenie Coventry,qcoventry2v@printfriendly.com,Online
Chevrolet,Malibu,1939,22008.16,Miami,Haley Ditzel,1/11/2010,Tresa Pendlebery,tpendlebery2w@cloudflare.com,Online
Porsche,911,1935,69567.56,New York,Graehme Harvatt,8/20/2022,Ellen Syson,esyson2x@ustream.tv,Auction
BMW,M6,1923,36700.64,Chicago,Ben Bellini,7/20/2002,Viola Semarke,vsemarke2y@umich.edu,Online
Isuzu,Hombre,1928,41780.68,Los Angeles,Dell Dickman,3/16/2020,Feliza Milliken,fmilliken2z@purevolume.com,Online
GMC,Savana 2500,1980,37669.19,Chicago,Laurianne Rothman,3/7/2006,Laurie Arson,larson30@1688.com,Online
Aston Martin,V12 Vantage,1905,81402.66,Los Angeles,Orlan Easton,9/20/2016,Raddie Lafee,rlafee31@4shared.com,Online
Dodge,Caravan,1960,62353.56,Los Angeles,Novelia Battista,11/4/2022,Archibald Elliston,aelliston32@lulu.com,Auction
Nissan,Sentra,1954,96884.64,Miami,Natalina Hince,3/15/2005,Flory Lackie,flackie33@baidu.com,Auction
Mazda,B-Series Plus,1922,73890.54,Houston,Eden Matzl,9/8/2022,Jocko Ching,jching34@shinystat.com,Online
Suzuki,Daewoo Lacetti,1933,92348.11,New York,Harris Headford,10/12/2022,Betsy Kingaby,bkingaby35@netscape.com,Dealership
Toyota,Tacoma,1957,15282.9,New York,Gerardo O'Hare,7/27/2017,Sapphire Hantusch,shantusch36@deliciousdays.com,Online
Acura,RDX,1972,91245.27,New York,Fayette Creeber,8/29/2013,Jesselyn Teresse,jteresse37@mozilla.org,Online
Ford,Crown Victoria,1980,54373.55,Houston,Harland Chalcot,1/22/2006,Patrice Bauldrey,pbauldrey38@blogtalkradio.com,Dealership
Bentley,Continental GTC,1910,36142.06,Houston,Elsy Ciccetti,4/12/2009,Kerri Mancer,kmancer39@hostgator.com,Dealership
Maserati,Quattroporte,2001,23419.69,Chicago,Hildy Burnapp,4/19/2018,Netti Coper,ncoper3a@engadget.com,Dealership
Dodge,Intrepid,1979,68926.12,Miami,Gerhardt Grinstead,3/29/2020,Cecilia Harmson,charmson3b@umich.edu,Online
Mazda,Miata MX-5,1925,12730.79,New York,Berry MacEllen,8/23/2000,Julian Blesli,jblesli3c@ft.com,Dealership
Nissan,Quest,1982,63716.0,Houston,Jesse Ludewig,4/25/2005,Corbie Charley,ccharley3d@last.fm,Online
Ford,E350,1991,84541.78,New York,Meredithe Jacob,4/16/2017,King Hoogendorp,khoogendorp3e@wisc.edu,Online
Dodge,Ram 2500 Club,1960,46926.09,Chicago,Delmar Switzer,8/22/2013,Valencia Cunradi,vcunradi3f@cnbc.com,Dealership
Isuzu,Rodeo,1967,5206.63,Chicago,Janice Daventry,4/16/2001,Leicester Cotty,lcotty3g@free.fr,Dealership
GMC,Sierra 3500,2003,8907.19,New York,Risa Hamer,4/2/2017,Cheston Goacher,cgoacher3h@scribd.com,Online
Mitsubishi,Lancer,2020,80514.47,Miami,Curt Romi,4/19/2020,Barbee Devers,bdevers3i@icio.us,Auction
Mitsubishi,Galant,2010,67856.57,New York,Ashly Smeall,3/20/2003,Damita Kealey,dkealey3j@sogou.com,Auction
Toyota,FJ Cruiser,1996,31612.14,Miami,Quentin MacCarrick,6/5/2002,Jehu Cheves,jcheves3k@ebay.com,Online
Chevrolet,G-Series 2500,1917,36792.52,New York,Florida Nodes,9/5/2008,Rutledge Dingley,rdingley3l@guardian.co.uk,Auction
Chrysler,Prowler,1921,91779.24,Houston,Trista Krystek,2/4/2001,Ulrika McGloughlin,umcgloughlin3m@washington.edu,Auction
Dodge,Ram 3500,1994,54216.48,Los Angeles,Debbi Gockelen,11/25/2020,Sergio Sorrie,ssorrie3n@nih.gov,Dealership
Chevrolet,Aveo,2006,99995.5,Los Angeles,Dulcinea Chree,2/18/2015,Humfrey Wotherspoon,hwotherspoon3o@techcrunch.com,Auction
Toyota,Camry Hybrid,1909,28992.19,Chicago,Nesta Humm,4/14/2017,Camila Majury,cmajury3p@slate.com,Dealership
Subaru,Baja,1929,32917.88,Chicago,Winny Adriano,4/13/2003,Parker McClure,pmcclure3q@businessinsider.com,Dealership
Toyota,Corolla,2000,7454.86,New York,Honey Simonnet,7/9/2021,Jackie Giovanazzi,jgiovanazzi3r@smugmug.com,Dealership
Dodge,Viper,2014,76494.32,Chicago,Morena Rothermel,12/30/2000,Ricardo Minghella,rminghella3s@weibo.com,Auction
Chrysler,PT Cruiser,1985,51358.11,New York,Isadore Ninnis,12/6/2020,Evelina Eames,eeames3t@mediafire.com,Dealership
Chevrolet,Corvette,1901,86498.4,New York,Leonard Martello,6/24/2013,Thornton Lamblin,tlamblin3u@dailymail.co.uk,Online
Dodge,Dakota,1906,29891.32,New York,Lyssa Rieme,5/20/2007,Germain Norquoy,gnorquoy3v@time.com,Online
Saturn,S-Series,1909,77661.68,Los Angeles,Elenore Visick,2/26/2017,My Fishly,mfishly3w@disqus.com,Online
Chevrolet,2500,1948,88224.0,Los Angeles,Clerc Georgeson,7/9/2006,Goddart Deas,gdeas3x@abc.net.au,Auction
Pontiac,Grand Prix,1948,64236.62,Los Angeles,Nancy Medcalf,2/20/2004,Onfre Marjoram,omarjoram3y@g.co,Online
Chevrolet,Suburban 1500,1960,30470.68,Houston,Jimmie Nezey,10/6/2017,Urbain Gillman,ugillman3z@theatlantic.com,Online
Chevrolet,Corvette,1960,18037.84,Los Angeles,Raine Penke,2/7/2015,Alden McCuffie,amccuffie40@blinklist.com,Auction
Toyota,Sequoia,1927,18642.65,New York,Merrily Longcake,5/2/2002,Cleo Greenough,cgreenough41@deviantart.com,Auction
Honda,Accord,2011,49784.41,Houston,Verena Dible,1/2/2003,Quinta Desson,qdesson42@technorati.com,Online
Land Rover,Discovery,1951,60098.5,Miami,Roderic Lillee,6/16/2008,Beitris Lambrecht,blambrecht43@diigo.com,Dealership
Volkswagen,Golf,1911,71612.52,Chicago,Salvidor Linning,3/18/2021,Sella Crosdill,scrosdill44@mediafire.com,Dealership
Pontiac,6000,2010,97432.51,Chicago,Rollins Ohrt,1/21/2015,Diena Lannen,dlannen45@issuu.com,Online
Volkswagen,Type 2,1939,72769.74,Chicago,Slade Lloyd-Williams,5/25/2018,Uri Simla,usimla46@chronoengine.com,Auction
Buick,Park Avenue,2001,28172.82,Houston,Sheilakathryn Shingfield,4/6/2016,Marybelle Janiak,mjaniak47@sourceforge.net,Online
Nissan,Titan,1954,63378.54,Chicago,Adore Paulsen,4/17/2021,Barry Pineaux,bpineaux48@hatena.ne.jp,Online
Mitsubishi,Precis,1946,28125.93,Miami,Gerik Ireson,9/13/2019,Madelina Lyokhin,mlyokhin49@auda.org.au,Dealership
Pontiac,Safari,2016,77603.68,Los Angeles,Tori Esherwood,9/13/2017,Darrell Foulcher,dfoulcher4a@squarespace.com,Auction
Suzuki,XL-7,1995,59445.33,New York,Rhianon Strowthers,9/20/2005,Hobart Alner,halner4b@bbc.co.uk,Dealership
Geo,Prizm,1999,25193.37,Los Angeles,Gardiner Simonel,5/25/2002,Tiebold Guiet,tguiet4c@plala.or.jp,Auction
Suzuki,Vitara,1978,1830.45,New York,Marillin Blankley,7/10/2022,Leonardo McQuaid,lmcquaid4d@guardian.co.uk,Dealership
Chevrolet,Avalanche 2500,2009,11280.61,Miami,Benjie Potticary,11/5/2021,Ebony Hassen,ehassen4e@wordpress.com,Dealership
Nissan,Pathfinder,2015,26032.41,Los Angeles,Gaby Seery,9/7/2018,Mada Boarder,mboarder4f@webs.com,Dealership
Chrysler,300,1957,28259.38,Los Angeles,Adham Bilbey,10/7/2014,Berthe Kinzett,bkinzett4g@huffingtonpost.com,Auction
Bentley,Azure T,2019,66078.54,Miami,Eberto Charrisson,9/6/2000,Cleopatra Boustead,cboustead4h@over-blog.com,Auction
BMW,600,1984,87047.22,Miami,Silvanus Giacoboni,3/9/2014,Isaiah Edgeller,iedgeller4i@geocities.jp,Auction
Dodge,Dakota,1949,44069.38,Houston,Dorothee Knightsbridge,8/20/2008,Cass Tidy,ctidy4j@youku.com,Dealership
Chevrolet,Impala,1935,40059.58,New York,Grayce Gosnell,10/16/2007,Helenelizabeth Mercer,hmercer4k@w3.org,Auction
GMC,Rally Wagon G3500,1986,74907.98,Chicago,Corey Bernardeschi,12/26/2007,Donny Makeswell,dmakeswell4l@canalblog.com,Online
Jeep,Patriot,1989,96721.75,Miami,Jacky Rene,12/3/2017,Elisha Gambell,egambell4m@microsoft.com,Auction
Maserati,430,1925,83180.64,Houston,Orran Cherry Holme,5/16/2016,Tildi Kupis,tkupis4n@berkeley.edu,Online
Chevrolet,Silverado 3500,1960,89222.99,Houston,Christabella Tibbetts,5/6/2000,Micky Swinburn,mswinburn4o@bandcamp.com,Online
Ford,Escort,1920,86128.56,Chicago,Elisabeth Mapstone,5/8/2008,Harmonie Croizier,hcroizier4p@whitehouse.gov,Auction
Pontiac,Firefly,1931,99383.18,Chicago,Agnesse Allkins,4/7/2010,Lion Laville,llaville4q@virginia.edu,Online
Toyota,Land Cruiser,2015,21476.15,Chicago,Bartie Durno,9/15/2016,Ivy Barbosa,ibarbosa4r@edublogs.org,Dealership
Dodge,Ram 2500 Club,2000,52314.64,Los Angeles,Marie-ann Eyer,4/22/2015,Rand Halwood,rhalwood4s@pinterest.com,Auction
Suzuki,Kizashi,1910,26821.08,Houston,Adlai Phripp,1/31/2008,Meagan Stalf,mstalf4t@amazon.de,Online
Acura,RL,1938,10209.75,Los Angeles,Christal Ead,6/19/2019,Emmaline Pimlott,epimlott4u@theglobeandmail.com,Auction
Toyota,Prius,2013,93162.86,Miami,Gilda Parkhouse,7/27/2000,Gregorio Strainge,gstrainge4v@netlog.com,Auction
Bentley,Azure T,1998,2055.3,Miami,Syman Barritt,6/29/2014,Lewiss Shelford,lshelford4w@upenn.edu,Online
Subaru,Outback,1918,98760.11,Miami,Cecily McPhilemy,10/12/2018,Camille Zukierman,czukierman4x@jiathis.com,Online
Land Rover,Range Rover,1968,99472.66,New York,Lenee Hirtzmann,1/28/2000,Vasilis Jancy,vjancy4y@domainmarket.com,Online
Dodge,Ram,2005,23526.9,Houston,Arleyne Garlett,8/3/2019,Bliss Gillman,bgillman4z@unblog.fr,Auction
Chevrolet,Tahoe,2018,57627.77,New York,Baudoin Sansome,5/25/2021,Balduin Staten,bstaten50@is.gd,Auction
Audi,A8,2003,60788.6,Houston,Tomi Brumwell,11/13/2005,Fairleigh Stuckow,fstuckow51@google.com,Dealership
Mercury,Tracer,1949,95037.44,Houston,Jase Matts,2/21/2000,Derby Picheford,dpicheford52@wikia.com,Dealership
Pontiac,Grand Prix,1968,50480.83,Houston,Alejandrina Ogg,10/29/2001,Janifer Mularkey,jmularkey53@loc.gov,Online
Toyota,4Runner,2020,41918.33,Chicago,Avictor Janus,12/15/2012,Herc Fittes,hfittes54@nymag.com,Auction
Volvo,C70,1947,54278.41,New York,Deb Kisby,1/12/2012,Dorotea Dranfield,ddranfield55@digg.com,Online
Kia,Rio,1943,48326.49,New York,Dav Siddons,2/26/2018,Clair Kewzick,ckewzick56@mtv.com,Online
BMW,X6 M,1922,5968.6,Houston,Riki Prise,12/25/2003,Zonda Parfitt,zparfitt57@pcworld.com,Online
Volvo,V90,1926,53969.41,Houston,Jane Burfield,10/21/2021,Blinny Flowitt,bflowitt58@qq.com,Dealership
Pontiac,Firebird,1918,16724.17,Los Angeles,Violet Bredee,2/1/2003,Nettie Vaudre,nvaudre59@virginia.edu,Dealership
Kia,Sorento,1931,57941.46,Los Angeles,Hort Pideon,8/5/2004,Yehudi Songust,ysongust5a@zimbio.com,Auction
Toyota,MR2,1954,25254.96,Miami,Aubine Beckingham,8/29/2015,Giffie Klinck,gklinck5b@dot.gov,Dealership
Mazda,Miata MX-5,2017,37288.4,Miami,Prinz Wallicker,2/26/2021,Chrisy Whittleton,cwhittleton5c@soup.io,Online
Geo,Metro,1920,74947.2,Los Angeles,Marquita Towler,5/17/2021,Rice Boyan,rboyan5d@mayoclinic.com,Dealership
Pontiac,Grand Am,1922,51380.96,Miami,Barde Bosch,5/8/2003,Justino Fullun,jfullun5e@yelp.com,Online
Chrysler,300,1925,37803.61,New York,Lezley Gilliatt,1/13/2022,Abdel Silverman,asilverman5f@typepad.com,Dealership
Nissan,350Z,2001,68601.86,Chicago,Noami Franscioni,8/14/2001,Sybilla Evason,sevason5g@timesonline.co.uk,Auction
GMC,Yukon XL 1500,1917,3692.17,Chicago,Glyn Jinda,3/25/2015,Seymour Hawford,shawford5h@goodreads.com,Auction
Geo,Metro,1947,12966.27,New York,Trula Crowden,2/19/2012,Bernadette Dresse,bdresse5i@edublogs.org,Auction
Infiniti,Q,1915,75904.61,New York,Lynsey Gunda,5/15/2002,Jan Vannuccinii,jvannuccinii5j@google.com.br,Dealership
Toyota,Avalon,1987,28457.99,Chicago,Genna Lockie,4/2/2016,Brenda Arstall,barstall5k@oaic.gov.au,Auction
Pontiac,Grand Am,1906,73905.91,Los Angeles,Aylmer Rubertelli,3/19/2021,Tannie Pennells,tpennells5l@myspace.com,Dealership
Hyundai,XG350,1906,69174.4,Houston,Milly Gare,2/27/2004,Lindsey Copcott,lcopcott5m@go.com,Dealership
Buick,Park Avenue,2010,32728.46,New York,Kellen Tatton,4/20/2002,Babette Banker,bbanker5n@walmart.com,Auction
Chevrolet,Express,1965,7302.49,New York,Kevyn Menguy,12/19/2022,Culley Lancett,clancett5o@hubpages.com,Auction
Chevrolet,Silverado 2500,1902,47624.77,Houston,Janene Brosnan,1/26/2005,Kata Simmins,ksimmins5p@china.com.cn,Dealership
Volkswagen,Golf III,1918,16909.54,New York,Laughton Selesnick,9/10/2018,Pierette Easom,peasom5q@nasa.gov,Dealership
Pontiac,Grand Prix,1974,3075.16,Houston,Elton Silverstone,11/12/2006,Augusto Holdin,aholdin5r@histats.com,Online
Audi,4000s Quattro,1935,71448.52,Miami,Wynn Horsburgh,1/31/2005,Joycelin Smickle,jsmickle5s@macromedia.com,Dealership
